date,Temperature,GHR,Pyranometer,Temperature probe,Sun azimuth,Clearness index,Month,Hour,Power
201811210930,535,48,7.6,3.3,-0.891160682146361,0.81969192587855,0.866025403784438,-1,9.921757
201811210945,600,49,7.6,3.2,-0.919073967059964,0.88361362004418,0.866025403784438,-1,11.02265
201811211000,662,52,8,3.9,-0.943707709081692,0.943981731399165,0.866025403784438,-1.83697019872103e-16,11.41886
201811211015,695,54,7.7,5.8,-0.964484993326988,0.966144960999109,0.866025403784438,-1.83697019872103e-16,12.16909
201811211030,728,54,8,6.3,-0.98086979147048,0.992962748207835,0.866025403784438,-1.83697019872103e-16,12.77054
201811211045,779,54,7.9,3,-0.992405676585571,1.04895668214814,0.866025403784438,-1.83697019872103e-16,13.33857
201811211100,825,55,8.1,5.5,-0.998752870892507,1.10329090258457,0.866025403784438,1,13.93938
201811211115,858,54,8.1,4,-0.999718191234936,1.14629541274489,0.866025403784438,1,14.50106
201811211130,897,50,8.6,5.5,-0.995272953850983,1.20427691178792,0.866025403784438,1,14.88243
201811211145,914,48,8.7,6,-0.985555678392958,1.24046582371692,0.866025403784438,1,15.03109
201811211200,925,46,8.900001,5,-0.970859102588455,1.2768191791891,0.866025403784438,3.06161699786838e-16,15.23298
201811211215,918,45,9.1,4.7,-0.95160383270717,1.29696205651106,0.866025403784438,3.06161699786838e-16,15.19979
201811211230,904,47,8.900001,7.8,-0.928303100576136,1.31597073688199,0.866025403784438,3.06161699786838e-16,15.15423
201811211245,895,48,9.400001,4.5,-0.901524040909705,1.35204906760688,0.866025403784438,3.06161699786838e-16,14.94432
201811211300,891,51,8.900001,4.1,-0.871850568399902,1.4076864561515,0.866025403784438,-1,14.73805
201811211315,863,46,9.900001,5.9,-0.839851658452856,1.43820099069523,0.866025403784438,-1,14.33768
201811211330,831,49,9.2,2.2,-0.80605715249115,1.4749620186953,0.866025403784438,-1,13.82017
201811211345,803,48,9.7,3.8,-0.77094161439475,1.53490996334626,0.866025403784438,-1,13.5154
201811211400,768,45,9.7,3.4,-0.734915570926243,1.60170967860795,0.866025403784438,-4.28626379701574e-16,12.8852
201811211415,713,41,9.900001,4.3,-0.698322776754205,1.64824609331983,0.866025403784438,-4.28626379701574e-16,12.22457
201811211430,668,42,9.8,4.8,-0.66144189867471,1.74577230785637,0.866025403784438,-4.28626379701574e-16,11.57739
201811211445,626,38,10.4,6.6,-0.624491082876903,1.89769237495759,0.866025403784438,-4.28626379701574e-16,10.8285
201811211500,569,36,10.7,2.8,-0.587634113458273,2.07275520549922,0.866025403784438,1,9.961939
201811211515,509,33,10.5,4,-0.550987177798609,2.34784917205026,0.866025403784438,1,8.968025
201811211530,444,32,10.4,6,-0.514625551983986,2.82870423324601,0.866025403784438,1,7.81991
201811211545,374,28,10.5,7.2,-0.478589769701737,3.92550352236903,0.866025403784438,1,6.634037
201811211600,300,24,10.1,5.9,-0.442891028578419,9.37664312870769,0.866025403784438,5.51091059616309e-16,5.134392
